stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,Stop_7,Stop_8,Stop_9,Stop_10,Stop_11,Stop_12,Stop_13,Stop_14,Stop_15,Stop_16,Stop_17,Stop_18_1,Stop_18_2,Stop_19
22701,,大鰐温泉駅前,,40.5212041666667,140.567382222222,22701,,0,,,,,07:52:00,08:32:00,09:32:00,10:32:00,11:32:00,12:32:00,13:32:00,14:32:00,15:32:00,16:32:00,17:32:00,18:32:00,19:02:00,19:32:00
21221,,大鰐,,40.5215752777778,140.572293888889,21221,,0,,,,,07:53:00,08:33:00,09:33:00,10:33:00,11:33:00,12:33:00,13:33:00,14:33:00,15:33:00,16:33:00,17:33:00,18:33:00,19:03:00,19:33:00
21231,,大湯前,,40.5217147222222,140.576452222222,21231,,0,,,,,07:54:00,08:34:00,09:34:00,10:34:00,11:34:00,12:34:00,13:34:00,14:34:00,15:34:00,16:34:00,17:34:00,18:34:00,19:04:00,19:34:00
21241,,大鰐病院前,,40.5208572222222,140.581156111111,21241,,0,,,,,07:55:00,08:35:00,09:35:00,10:35:00,11:35:00,12:35:00,13:35:00,14:35:00,15:35:00,16:35:00,17:35:00,18:35:00,19:05:00,19:35:00
21251,,大鰐南団地前,,40.5201928212,140.589609703,21251,,0,,,,,07:57:00,08:37:00,09:37:00,10:37:00,11:37:00,12:37:00,13:37:00,14:37:00,15:37:00,16:37:00,17:37:00,18:37:00,19:07:00,19:37:00
21261,,元長峰,,40.5196094444444,140.596579722222,21261,,0,,,,,07:59:00,08:39:00,09:39:00,10:39:00,11:39:00,12:39:00,13:39:00,14:39:00,15:39:00,16:39:00,17:39:00,18:39:00,19:09:00,19:39:00
21271,,長峰北口,,40.5177661111111,140.600191388889,21271,,0,,,,,08:00:00,08:40:00,09:40:00,10:40:00,11:40:00,12:40:00,13:40:00,14:40:00,15:40:00,16:40:00,17:40:00,18:40:00,19:10:00,19:40:00
21281,,長峰,,40.5148488888889,140.602802222222,21281,,0,,,,,08:01:00,08:41:00,09:41:00,10:41:00,11:41:00,12:41:00,13:41:00,14:41:00,15:41:00,16:41:00,17:41:00,18:41:00,19:11:00,19:41:00
21291,,九十九森,,40.5124661111111,140.604604444444,21291,,0,,,,,08:02:00,08:42:00,09:42:00,10:42:00,11:42:00,12:42:00,13:42:00,14:42:00,15:42:00,16:42:00,17:42:00,18:42:00,19:12:00,19:42:00
21301,,唐牛北口,,40.50391,140.6126625,21301,,0,,,,,08:03:00,08:43:00,09:43:00,10:43:00,11:43:00,12:43:00,13:43:00,14:43:00,15:43:00,16:43:00,17:43:00,18:43:00,19:13:00,19:43:00
21311,,唐牛,,40.5004716666667,140.612690277778,21311,,0,,,,,08:04:00,08:44:00,09:44:00,10:44:00,11:44:00,12:44:00,13:44:00,14:44:00,15:44:00,16:44:00,17:44:00,18:44:00,19:14:00,19:44:00
21321,,唐牛支所前,,40.4977580555556,140.614589444444,21321,,0,,,,,08:05:00,08:45:00,09:45:00,10:45:00,11:45:00,12:45:00,13:45:00,14:45:00,15:45:00,16:45:00,17:45:00,18:45:00,19:15:00,19:45:00
21331,,古懸,,40.4879922222222,140.620505,21331,,0,,,,,08:06:00,08:46:00,09:46:00,10:46:00,11:46:00,12:46:00,13:46:00,14:46:00,15:46:00,16:46:00,17:46:00,18:46:00,19:16:00,19:46:00
21341,,碇ヶ関駅前,,40.4802055555556,140.623949722222,21341,,0,,,,,08:07:00,08:47:00,09:47:00,10:47:00,11:47:00,12:47:00,13:47:00,14:47:00,15:47:00,16:47:00,17:47:00,18:47:00,19:17:00,19:47:00
21351,,碇ヶ関郵便局前,,40.4770305555556,140.624515277778,21351,,0,,,,,08:08:00,08:48:00,09:48:00,10:48:00,11:48:00,12:48:00,13:48:00,14:48:00,15:48:00,16:48:00,17:48:00,18:48:00,19:18:00,19:48:00
21361,,碇ヶ関下町,,40.4738830555556,140.626945277778,21361,,0,,,,,08:11:00,08:51:00,09:51:00,10:51:00,11:51:00,12:51:00,13:51:00,14:51:00,15:51:00,16:51:00,17:51:00,18:51:00,19:21:00,19:51:00
21371,,碇ヶ関,,40.4724719444444,140.629946666667,21371,,0,,,,,08:13:00,08:53:00,09:53:00,10:53:00,11:53:00,12:53:00,13:53:00,14:53:00,15:53:00,16:53:00,17:53:00,18:53:00,19:23:00,19:53:00
21381,,碇ヶ関上町,,40.4683163888889,140.633310833333,21381,,0,,,,,08:15:00,08:55:00,09:55:00,10:55:00,11:55:00,12:55:00,13:55:00,14:55:00,15:55:00,16:55:00,17:55:00,18:55:00,19:25:00,19:55:00
21391,,舟岡,,40.4473088888889,140.635211111111,21391,,0,,,,,08:18:00,08:58:00,09:58:00,10:58:00,11:58:00,12:58:00,13:58:00,14:58:00,15:58:00,16:58:00,17:58:00,18:58:00,19:28:00,19:58:00
21403,,岩渕公園前,,40.4426977777778,140.635315,21403,,0,,,,,08:25:00,09:05:00,10:05:00,11:05:00,12:05:00,13:05:00,14:05:00,15:05:00,16:05:00,17:05:00,18:05:00,19:05:00,19:35:00,20:05:00
